FID,objectid_1,objectid,oid_,name,folderpath,popupinfo,longitud,Shape__Length
97,97,97,0,* Parque por Ejército Libertador (b),Ciclovías Santiago 2015 - 2016,Domingo Tocornal a Eyzaguirre,1.07,1284.89882845845
98,98,98,0,* Parque por Elías Fernández Albano,Ciclovías Santiago 2015 - 2016,Santa Rosa a Gran Avenida,2.35,2814.86203215388
99,99,99,0,* Parque por El Parrón / Salvador Allende,Ciclovías Santiago 2015 - 2016/* Parque por El Parrón,Américo Vespucio a Clotario Blest,1.01,1210.48332154086
100,100,100,0,* Parque por Eyzaguirre,Ciclovías Santiago 2015 - 2016,Laja a Pie Andino,1.49,1782.53272961124
101,101,101,0,* Parque por Francisco Bilbao,Ciclovías Santiago 2015 - 2016,Tomás Moro a Padre Hurtado Sur,1.4,1674.04958067403
102,102,102,0,* Parque por Gran Avenida,Ciclovías Santiago 2015 - 2016,Salesianos a Isabel Riquelme,1.76,2115.05821649532
103,103,103,0,* Parque por Las Torres (2),Ciclovías Santiago 2015 - 2016,Los Cerezos a General Horacio Toro,0.94,1128.73121678483
104,104,104,0,* Parque por Linares,Ciclovías Santiago 2015 - 2016,Villarrica a La serena,0.91,1086.74342955647
105,105,105,0,* Parque por Marathon,Ciclovías Santiago 2015 - 2016,Escuela Agrícola a Los Alerces,2.1,2526.87497529538
106,106,106,0,* Parque por Perú,Ciclovías Santiago 2015 - 2016,Dominica a San Cristóbal,0.7,847.545982783803
107,107,107,0,* Parque por Presidente Errázuriz,Ciclovías Santiago 2015 - 2016,Vespucio a San Crescente,1.03,1233.94885601179
108,108,108,0,* Parque por Rodrigo de Araya,Ciclovías Santiago 2015 - 2016,Premio Nobel a Rotonda Grecia,1.95,2331.78613013219
109,109,109,0,* Parque por Sánchez Fontecilla (a),Ciclovías Santiago 2015 - 2016,Pdte. Errázuriz a Ossa,2.79,3350.39168832102
110,110,110,0,* Parque por Sánchez Fontecilla (b),Ciclovías Santiago 2015 - 2016,Las Parcelas a Quilín Norte,2.61,3142.11793880782
111,111,111,0,* Parque por San Luis de Macul,Ciclovías Santiago 2015 - 2016,Los Soldadores a Gabriela Mistral,0.74,889.959117513312
112,112,112,0,* Parque por Santa María (a),Ciclovías Santiago 2015 - 2016,Pío Nono a Pérez Valenzuela,1.42,1699.58408930806
113,113,113,0,* Parque por Santa María (b),Ciclovías Santiago 2015 - 2016,La Concepción a El Cerro,1.18,1411.52411754898
114,114,114,0,* Parque por Santa María (c),Ciclovías Santiago 2015 - 2016,Acceso Club De Polo a Del Sembrador,1.41,1689.52300803155
115,115,115,0,* Parque por Tobalaba (a),Ciclovías Santiago 2015 - 2016,Lota a Troncos Viejos,2.47,2968.8253054907
116,116,116,0,* Parque por Tobalaba (b),Ciclovías Santiago 2015 - 2016,Ossa a Quilín Norte,6.86,8243.13382898672
117,117,117,0,* Parque por Tobalaba (c),Ciclovías Santiago 2015 - 2016,Quilín a Departamental,1.4,1685.93994659453
118,118,118,0,* Parque por Vespucio,Ciclovías Santiago 2015 - 2016,Pdte. Miguel Iglesias a Bilbao,5.13,6164.68387601715
119,119,119,0,IV Centenario (b),Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Fleming a Manuel Claro Vial,0.45,534.152108016805
120,120,120,0,Baldomero Lillo,Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Aníbal Pinto a Andrés Bello,0.68,820.402094787471
121,121,121,0,Bernardo O'Higgins,Ciclovías Santiago 2015 - 2016,Bandejón / Ambos sentidos / Colbún a San Ignacio,1.05,1257.8060673746
122,122,122,0,Camino a Lonquén,Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Fuente Bella a Restorán Las Bodegas de Lonquén,11.4,13725.3432164873
123,123,123,0,Calera De Tango / Manuel Castillo,Ciclovías Santiago 2015 - 2016/Calera De Tango,Vereda / Ambos sentidos / Los Almendros a Autopista Del Sol,10.06,12074.4309040906
124,124,124,0,Centenario (b),Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / San Ignacio a Nataniel Cox,0.37,445.616029424281
125,125,125,0,Centenario (c),Ciclovías Santiago 2015 - 2016,Vereda y Bandejón / Ambos sentidos / San Diego a Santa Rosa,0.57,676.770710399666
126,126,126,0,Costanera Sur,Ciclovías Santiago 2015 - 2016,Vereda y Bandejón / Ambos sentidos / Santos Luis Medel a Pdte. Balmaceda,6.16,7385.62307553761
127,127,127,0,Cuatro Oriente / Caletera Acceso Sur (b),Ciclovías Santiago 2015 - 2016/Cuatro Oriente,Vereda / Ambos sentidos / Cerro Yaretas a Camino El Retiro,3.65,4389.52220496487
128,128,128,0,El Mariscal,Ciclovías Santiago 2015 - 2016,Berma y Bandejón / Ambos sentidos / Padre Hurtado a Santa Rosa,5.21,6245.72309438494
