FID,nombre,observ,comp,comuna,tipo,localid,id,com_ine02,carabinero
47,32a. Comisaria Transito, ,PREFECTURA SANTIAGO CENTRAL,SANTIAGO,CARABINEROS,SANTIAGO,47, ,COMISARIA
48,Subcomisaria El Bosque, ,PREFECTURA SANTIAGO SUR,EL BOSQUE,CARABINEROS,SANTIAGO,48, ,SUBCOMISARIA
49,11a.Comisaria Jose Maria Caro., ,PREFECTURA SANTIAGO SUR,LO ESPEJO,CARABINEROS,SANTIAGO,49, ,COMISARIA
50,40a. Comisaria de Fuerzas Especiale, ,PREFECTURA CARABINEROS FUERZAS ESPECIALES,RECOLETA,CARABINEROS,SANTIAGO,50, ,COMISARIA
51,Subcomisaria San Bernardo Centro, ,PREFECTURA SANTIAGO SUR,SAN BERNARDO,CARABINEROS,SANTIAGO,51, ,SUBCOMISARIA
52,Tenencia La Victoria, ,PREFECTURA SANTIAGO SUR,PAC,CARABINEROS,SANTIAGO,52, ,TENENCIA
53,42a. Comisaria R.P. y Transito, ,PREFECTURA SANTIAGO SUR,PAC,CARABINEROS,SANTIAGO,53, ,COMISARIA
54,49Â¦. Comisaria Quilicura, ,PREFECTURA SANTIAGO NORTE,QUILICURA,CARABINEROS,SANTIAGO,54, ,COMISARIA
55,22a. Comisaria Quinta Normal, ,PREFECTURA SANTIAGO OCCIDENTE,QUINTA NORMAL,CARABINEROS,SANTIAGO,55, ,COMISARIA
56,25a. Comisaria Maipu, ,PREFECTURA SANTIAGO OCCIDENTE,MAIPU,CARABINEROS,SANTIAGO,56, ,COMISARIA
57,26a. Comisaria Pudahuel, ,PREFECTURA SANTIAGO OCCIDENTE,PUDAHUEL,CARABINEROS,SANTIAGO,57, ,COMISARIA
58,44a. Comisaria Lo Prado, ,PREFECTURA SANTIAGO OCCIDENTE,LO PRADO,CARABINEROS,SANTIAGO,58, ,COMISARIA
59,45a. Comisaria Cerro Navia, ,PREFECTURA SANTIAGO OCCIDENTE,CERRO NAVIA,CARABINEROS,SANTIAGO,59, ,COMISARIA
60,52a. Comisaria Rinconada de Maipu, ,PREFECTURA SANTIAGO OCCIDENTE,MAIPU,CARABINEROS,SANTIAGO,60, ,COMISARIA
61,31a. Comisaria San Ramon, ,PREFECTURA SANTIAGO SUR,SAN RAMON,CARABINEROS,SANTIAGO,61, ,COMISARIA
62,16a. Comisaria La Reina, ,PREFECTURA SANTIAGO ORIENTE,LA REINA,CARABINEROS,SANTIAGO,62, ,COMISARIA
63,18a. Comisaria Nunoa, ,PREFECTURA SANTIAGO ORIENTE,NUNOA,CARABINEROS,SANTIAGO,63, ,COMISARIA
64,19a. Comisaria Providencia, ,PREFECTURA SANTIAGO ORIENTE,PROVIDENCIA,CARABINEROS,SANTIAGO,64, ,COMISARIA
65,37a. Comisaria Vitacura, ,PREFECTURA SANTIAGO ORIENTE,VITACURA,CARABINEROS,SANTIAGO,65, ,COMISARIA
66,47a. Comisaria Los Dominicos, ,PREFECTURA SANTIAGO ORIENTE,LAS CONDES,CARABINEROS,SANTIAGO,66, ,COMISARIA
67,41a. Comisaria La Pintana, ,PREFECTURA CORDILLERA,LA PINTANA,CARABINEROS,SANTIAGO,67, ,COMISARIA
68,43a. Comisaria Penalolen, ,PREFECTURA CORDILLERA,PENALOLEN,CARABINEROS,SANTIAGO,68, ,COMISARIA
69,46a. Comisaria Macul, ,PREFECTURA CORDILLERA,MACUL,CARABINEROS,SANTIAGO,69, ,COMISARIA
70,50a. Comisaria San Joaquin, ,PREFECTURA CORDILLERA,SAN JOAQUIN,CARABINEROS,SANTIAGO,70, ,COMISARIA
71,Reten Batuco, ,PREFECTURA SANTIAGO NORTE,LAMPA,CARABINEROS,BATUCO,71, ,RETEN
72,8a. Comisaria Colina., ,PREFECTURA SANTIAGO NORTE,COLINA,CARABINEROS,COLINA,72, ,COMISARIA
73,Tenencia Til Til, ,PREFECTURA SANTIAGO NORTE,TILTIL,CARABINEROS,TILTIL,73, ,TENENCIA
74,Subcomisaria Maipo, ,PREFECTURA SANTIAGO SUR,SAN JOSE DE MAIPO,CARABINEROS,SAN JOSE DE MAIPO,74, ,SUBCOMISARIA
75,Tenencia Lampa, ,PREFECTURA SANTIAGO NORTE,LAMPA,CARABINEROS,LAMPA,75, ,TENENCIA
76,Tenencia Huertos Familiares, ,PREFECTURA SANTIAGO NORTE,TILTIL,CARABINEROS,HUERTOS FAMILIARES,76, ,TENENCIA
77,27a. Comisaria Aeropuerto Internaci, ,PREFECTURA SANTIAGO OCCIDENTE,PUDAHUEL,CARABINEROS,SANTIAGO,77, ,COMISARIA
78,Subcomisaria Lo Lillo, ,PREFECTURA SANTIAGO SUR,EL BOSQUE,CARABINEROS,SANTIAGO,78, ,SUBCOMISARIA
79,Reten Rungue, ,PREFECTURA SANTIAGO NORTE,TILTIL,CARABINEROS,RUNGUE,79, ,RETEN
80,Reten Caleu, ,PREFECTURA SANTIAGO NORTE,TILTIL,CARABINEROS, ,80, ,RETEN
81,3a. Comisaria Santiago., ,PREFECTURA SANTIAGO CENTRAL,LA CISTERNA,CARABINEROS,SANTIAGO,81, ,COMISARIA
82,36a Comisaria La Florida, ,PREFECTURA CORDILLERA,LA FLORIDA,CARABINEROS,SANTIAGO,82, ,COMISARIA
83,BRIGADA DE HOMICIDIOS METROPOLITANA,PROVIDENCIA, ,PROVIDENCIA,INVESTIGACIONES,SANTIAGO,83, , 
84,BRIGADA DE INVESTIGACION CRIMINAL NUNOA,NUNOA, ,NUNOA,INVESTIGACIONES,SANTIAGO,84, , 
85,BRIGADA DE INVESTIGACION CRIMINAL LA REINA,LA REINA, ,LA REINA,INVESTIGACIONES,SANTIAGO,85, , 
