FID,nombre,direccion,comuna,tipo
204,INSIDE ART,2831 ALONSO DE CORDOVA,VITACURA,GALERIA DE ARTE
205,INSIDE ART,1183 PADRE HURTADO NORTE,VITACURA,GALERIA DE ARTE
206,ISABEL ANINAT,3100 ESPOZ,VITACURA,GALERIA DE ARTE
207,JUAN EGENAU,3370 LAS ENCINAS,NUNOA,GALERIA DE ARTE
208,JUAN MANUEL BARROS,1903 PINTO,INDEPENDENCIA,GALERIA DE ARTE
209,LA PUERTA,5848 CERRO COLORADO,LAS CONDES,GALERIA DE ARTE
210,LA SALA,2700 ALONSO DE CORDOVA,VITACURA,GALERIA DE ARTE
211,LA SALA,9001 PDTE KENNEDY,LAS CONDES,GALERIA DE ARTE
212,M2,2843 ALONSO DE CORDOVA,VITACURA,GALERIA DE ARTE
213,PALMA - VALDES,2812 ALONSO DE CORDOVA,VITACURA,GALERIA DE ARTE
214,PRAXIS,4363 VITACURA,VITACURA,GALERIA DE ARTE
215,PROJECT ROOM UNIACC,1200 SALVADOR,PROVIDENCIA,GALERIA DE ARTE
216,FUNDACION TELEFONICA,111 PROVIDENCIA,PROVIDENCIA,GALERIA DE ARTE
217,MAC QUINTA NORMAL,464 MATUCANA,SANTIAGO,MUSEO
218,MUSEO DE ARTES VISUALES,307 LASTARRIA,SANTIAGO,MUSEO
219,MUSEO ARQUEOLOGICO DE SANTIAGO,307 LASTARRIA,SANTIAGO,MUSEO
220,MUSEO DE ARTES DECORATIVAS,683 RECOLETA,RECOLETA,MUSEO
221,MUSEO BENJAMIN VICUNA MACKENNA,94 VICUNA MACKENNA,PROVIDENCIA,MUSEO
222,MUSEO DE LA EDUCACION GABRIELA MISTRAL,365 CHACABUCO,SANTIAGO,MUSEO
223,MUSEO HISTORICO DOMINICO,683 RECOLETA,RECOLETA,MUSEO
224,MUSEO HISTORICO Y MILITAR DE CHILE,1550 BLANCO ENCALADA,SANTIAGO,MUSEO
225,MUSEO ARTEQUIN,3530 PORTALES,ESTACION CENTRAL,MUSEO
226,MUSEO RALLI,4110 ALONSO DE SOTOMAYOR,VITACURA,MUSEO
227,NEMESIO ANTUNEZ,ESTACION METRO CAL Y CANTO,SANTIAGO,GALERIA DE ARTE
228,BAQUEDANO,ESTACION METRO BAQUEDANO,PROVIDENCIA,GALERIA DE ARTE
229,PABLO NERUDA,ESTACION METRO QUINTA NORMAL,SANTIAGO,GALERIA DE ARTE
230,POSADA DEL CORREGIDOR,749 ESMERALDA,SANTIAGO,GALERIA DE ARTE
231,MUSEO NACIONAL DE HISTORIA NATURAL,QUINTA NORMAL INTERIOR,SANTIAGO,MUSEO
232,MUSEO INFANTIL,QUINTA NORMAL INTERIOR,SANTIAGO,MUSEO
233,MUSEO DE CIENCIA Y TECNOLOGIA,QUINTA NORMAL INTERIOR,SANTIAGO,MUSEO
234,MUSEO FERROVIARIO,QUINTA NORMAL INTERIOR,SANTIAGO,MUSEO
235,MUSEO NACIONAL DE BELLAS ARTES,PARQUE FORESTAL S/N,SANTIAGO,MUSEO
236,MUSEO DE ARTE CONTEMPORANEO,PARQUE FORESTAL S/N,SANTIAGO,MUSEO
237,MUSEO HISTORICO NACIONAL,951 PLAZA DE ARMAS,SANTIAGO,MUSEO
238,MUSEO NACIONAL AERONAUTICO Y DEL ESPACIO,5000 PEDRO AGUIRRE CERDA,CERRILLOS,MUSEO
239,MUSEO INTERACTIVO MIRADOR,6711 PUNTA ARENAS,LA GRANJA,MUSEO
240,MATTHEI,3103 ALONSO DE CORDOBA,VITACURA,GALERIA DE ARTE
